ID,GRIDCODE,ORIG_FID,Join_Count,TARGET_FID,FLD_ZONE,STATIC_BFE,ABFE_0_2Pc,Shape_Leng,Shape_Area
7972,1000,2378,0,0,,0,0,0,0
7975,1200,2379,0,0,,0,0,0,0
7979,1200,2381,0,0,,0,0,0,0
7984,1100,2383,0,0,,0,0,0,0
7985,1100,2384,0,0,,0,0,0,0
7986,1000,2385,0,0,,0,0,0,0
7987,1000,2386,0,0,,0,0,0,0
7989,1100,2387,0,0,,0,0,0,0
7992,1200,2388,0,0,,0,0,0,0
7995,1100,2389,0,0,,0,0,0,0
7998,1100,2390,0,0,,0,0,0,0
8000,1000,2391,0,0,,0,0,0,0
8002,1100,2392,0,0,,0,0,0,0
8003,1100,2393,0,0,,0,0,0,0
8006,1100,2394,0,0,,0,0,0,0
8007,1200,2395,0,0,,0,0,0,0
8008,1100,2396,0,0,,0,0,0,0
800
